"DateTime","Polygon 1","Polygon 2"
"2013-09-08",0.3528,0.3844
"2013-09-24",0.3728,0.3986
"2013-10-10",0.4042,0.3706
"2013-10-26",0.4675,0.4731
"2013-11-11",0.5548,0.574
"2013-11-27",0.5969,0.6205
"2014-03-03",0.7759,0.7973
"2014-03-19",,0.7692
"2014-04-04",0.6587,0.6764
"2014-04-20",0.633,0.6703
"2014-05-06",,0.6659
"2014-05-22",0.5742,0.6045
"2014-06-07",0.5252,0.5534
"2014-07-09",0.4677,0.4954
"2014-07-25",0.4267,0.4545
"2014-08-10",0.3983,0.4284
"2014-08-26",0.3547,0.3877
"2014-09-11",0.3465,0.348
"2014-09-27",0.3592,0.3562
"2014-10-13",0.3966,0.4035
"2014-10-29",0.4486,0.4696
"2014-11-14",0.4554,0.5004
"2014-11-30",0.5063,0.5619
"2015-02-18",0.7545
"2015-05-25",0.627,0.6536
"2015-06-10",0.578,0.6077
"2015-06-26",0.4745,0.5594
"2015-07-12",0.5076,0.5408
"2015-07-28",0.4512,0.4829
"2015-08-13",0.3934,0.4087
"2015-08-29",0.366,0.3947
"2015-09-14",0.3588,0.3788
"2015-09-30",0.3658,0.3814
"2015-11-01",0.4358,0.4613
"2016-01-04",0.7104,0.7305
"2016-01-20",0.7217,0.7377
"2016-04-25",0.7321,0.7707
"2016-05-11",0.6256,0.6607
"2016-05-27",0.571,0.6125
"2016-06-12",0.5389,0.582
"2016-06-28",0.5073,0.5492
"2016-07-14",,0.519
"2016-07-30",0.3987,0.4236
"2016-08-15",0.3785,0.3966
"2016-08-31",0.3618,0.382
"2016-09-16",0.3341,0.3444
"2016-10-02",0.3485,0.3634
"2016-10-18",0.4115,0.3591
"2016-11-03",0.4332,0.4076
"2016-11-19",0.4744,0.4521
"2017-04-12",0.7038
"2017-04-28",0.6863,0.737
"2017-05-30",0.551
"2017-06-15",0.5401,0.5787
"2017-07-01",0.5055,0.5448
"2017-07-17",0.4575,0.494
"2017-08-18",0.3467,0.4041
"2017-09-03",0.3325,0.3706
"2017-10-05",0.3736,0.3876
"2017-11-06",0.4276,0.4347
"2017-12-08",0.4293,0.6889
"2018-01-09",0.4617,0.7347
"2018-01-25",0.445,0.7266
"2018-05-01",0.2221,0.6417
"2018-06-02",0.1993,0.5731
"2018-06-18",0.2236,0.5294
"2018-07-04",0.4092,0.4973
"2018-08-05",0.865,0.4344
"2018-08-21",0.8736,0.3898
"2018-09-06",0.8548,0.3817